EntityName1	EntityName2	Supplement	Street	Locality	PhoneNumber	Year	Page	File	RefCode	Network
Ausrüstungsmagazin			Kavalleriekaserne	Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Blum Laval & fils				Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Basler Handelsbank		Filiale		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Bauamt		Sekretariat (Werkhof)		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Bauer & Cie			Schauplatzgasse	Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Berner Handelsbank				Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Bernerhof				Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Biehly	Hans	Cantinier		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Böhlen	F.		Matte	Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Bundesrathhaus		Weibelzimmer		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Böhlen	Lisette	Frau	Casino	Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Casino		Restaurant		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Couverts- und Markenfabrik				Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Café National				Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Dalp'sche Buchhandlung				Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Demme		Gebrüder	Dalmazi	Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Eggimann	August	Architekt		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Eidgenössische Bank				Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
v. Ernst & Cie		Banquiers		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Felsenau		Spinnerei		Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Französische Gesandtschaft		Wohnung	Favorite	Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Französische Gesandtschaft		Kanzlei	Marktgasse	Bern		1881		telefonbuch_002	PTT-Archiv, P-260-1_Bern_1881	Bern
Gas- und Wasseranstalt			Aarziele	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Gerster	M. & J.	Notariat		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Gruner-Haller & Cie		Bank	Marktgasse	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Gruner-Haller		Wohnung	Haspel	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Haaf		Droguerie		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Häberli	Gebrüder	Comestibles	Kramgasse	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Häberli	Gebrüder		Feldegg 341	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Jenni	Adolf	Handelsmann		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Intelligenzblatt		B. F. Haller	Marktgasse	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Internationales Telegraphenbureau				Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Jura-Bern-Bahn		Verwaltungsgebäude		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Kantonalbank				Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Kantons-Kriegskommissariat			Beundenfeld	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Kocher & Cie		Banquiers		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Koenig		Café-Brasserie		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Kriegsmaterialverwaltung		eidgenössische		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Kupfer	Chs		Marktgasse 93	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Lindt	Rod.	fils, Chocoladefabrik		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Locher	J. F.		Kramgasse	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Lips	F.	Lithograph	Hirschengraben	Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Marcuard	A.	Constructeur, Wohnung		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
Marcuard	A.	Constructeur, Werkstätte		Bern		1881		telefonbuch_003	PTT-Archiv, P-260-1_Bern_1881	Bern
