EntityName1	EntityName2	Supplement	Street	Locality	PhoneNumber	Year	Page	File	RefCode	Network
Schweizerische Telegraphen-Verwaltung		Herausgeber				1886		telefonbuch_003	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
Société Typogr. de Bienne		Druckerei		Bienne		1886		telefonbuch_003	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
TANNER		Apotheker, bei d. Post	Aeusseres Bollwerk 19	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
SCHEURER		Confiseur, Wallgasse 1	Bundesgasse 32	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
OTZ	S.	Cigarrenhandlg.	Bärenplatz 8	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
WILDBOLZ		Coiffeur	Kramgasse 84	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
GRÜNIG		Spezereihandlung	Nydeckgasse 13	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
WEIDMANN		Spezereihandl.	Aarziehle 2	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
GRUBER		Bäckermeister	Mattenhof 38	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
TSCHANZ		Frau, Spezereihandlung	Linde 9	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
HAUSSENER	Sam.	Bäckermeister, Beau-Site	Länggasse 14	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
FISCHER-BORN		Spezereihl.	Lorraine 32	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
BEIN	Hermann	Negt.	Altenberg 59	Bern		1886	12	telefonbuch_014	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
Andreæ	Ph.	Apotheker	Waisenhausplatz 21	Bern		1886		telefonbuch_015	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
Anselmier	G.	Ingenieur, Cementhandl.	Neuengasse 42	Bern		1886		telefonbuch_015	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
Ausrüstungsmagazin		Kavalleriekaserne	Bollwerk 10	Bern		1886		telefonbuch_015	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
Ausser-Krankenhaus			bei der Waldau	Bern		1886		telefonbuch_015	PTT-Archiv, P-260-1_Bern_Thun_1886	Bern / Thun
