EntityName1	EntityName2	Supplement	Street	Locality	PhoneNumber	Year	Page	File	RefCode	Network
Hausammann		Cigarrenhandlung	Schwertgasse 1	St. Gallen		1887	7	telefonbuch_007	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Nänny	J. J.	Tapetenhandlung		Herisau		1887	7	telefonbuch_007	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Schulhaus		Oeffentliche Sprechstation	Im Einfang	Herisau		1887	8	telefonbuch_008	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Schulhaus		Oeffentliche Sprechstation	Im Moos	Herisau		1887	8	telefonbuch_008	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Schulhaus		Oeffentliche Sprechstation	In Ramsen	Herisau		1887	8	telefonbuch_008	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Baumann	Karl	Bleicher, Oeffentliche Sprechstation	Im Saum	Herisau		1887	8	telefonbuch_008	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Adlerapotheke			St. Leonhardstrasse 6	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Alder, Rappolt & Engler		Broderies	Frohgartenstrasse 12	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Altherr	Geb.	Appretur		Speicher		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Altherr	Gustav	Broderies		Speicher		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Appenzeller	Geb.	Papierhandlg.	Freieck 7, Thurmstrasse	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Appenzeller-Moser		Papierhdlg.	Vadianstrasse 3	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Arlen	Ph.	Lithograph	Mittlerer Graben 10	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bächtold & Co.		Broderies	Vadianstrasse 13	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Baerlocher	Oskar	Broderies	Schmidgasse 28	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bank		Eidgenössische	Seidenhof	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bank von St. Gallen			Bankgasse 1	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Baudenbacher	G.	Buchbinderei	Oberer Graben 6 a	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Baumgartner	Carl	Sohn, älter, Colonialwaarenhandlung	Multergasse 6	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Becker & Co.		Broderies	Weisenhausstrasse 3	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Beerli	C.	Seidenzwirnerei	Multergasse 45	St. Gallen		1887	10	telefonbuch_010	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bersinger-Helbling	Franz		Schönenwegen 71	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Billwiller	Arnold	Bierbrauerei	Schützengarten	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Billwiller Gebrüder		Broderies	Teufenerstrasse 20	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bion & Tschumper		Broderies	Schützengasse 6, Stickerei Kronbühl und Stickerei Engelburg	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Blumer, Leemann & Co.		Broderies	Grabenhof, Neugasse	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Blumer, Wild & Co.		Tricotage u. Confection	Freienstein	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bodenmann & Möhrlin		Broderies	Vadianstrasse 27	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Boesch & Co.		Agentur für Baumwollwaaren	Oberer Graben 26	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Borner & Co		Filiale der Eisengiesserei Rorschach	Multergasse 33	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Brandenburger	Max	Kleiderhdlg.	Grabenhof, Neugasse	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Brettauer	L.	& Co., Banquiers	Oberer Graben 6	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Brunner	Jacob	Banquier	Poststrasse 11	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Brunnschweiler	E.	Versicherungsagent	Bureau und Wohnung Gallusstrasse 40	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Burgauer & Co.		Broderies	St. Leonhardstrasse 38	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bürgerspital			Rorschacherstrasse	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Bürke & Co.		Broderies	Oberer Graben 14	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Burkhardt	C.	Parquetier	Belle Vue Neudorf	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Caserne			Rosenbergstrasse	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Creditanstalt			Speisergasse 12	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Creditbank		Deutsch-Schweizerische	Schmiedgasse 26	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Danzas & Co.		Spedition	Kornhausstrasse 5	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Diem & Oberhänsly		Filiale der Buntpapierfabrik	Poststrasse 10	St. Gallen		1887	11	telefonbuch_011	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Diethelm & Co.		Broderies	Bahnhofstrasse 17	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Dürler	Wilh.	Baumeister und Architekt	Rosenbergstrasse 65 a	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Dürr		Metzger	Schmiedgasse 35	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Einstein, Hirsch & Co.		Broderies	Berneckstrasse 2	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Emden	M. Ph.	Broderies	St. Leonhardstrasse 37	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Engler	August	Appretur		Lachen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Engler & Co.		Seifenfabrik	Linsenbühlstrasse 17 und Lachen	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Entbindungsanstalt			Baubureau	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Etter	Albert	Zwirnerei	Webergasse 21 u. Zwirnerei Kräzern	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
Eugster, J. U. & Co.		Baumwollzwirnerei & Garnhandlung	Börse, Webergasse 4	St. Gallen		1887	12	telefonbuch_012	PTT-Archiv, P-260-1_St_Gallen_1887	St. Gallen
