EntityName1	EntityName2	Supplement	Street	Locality	PhoneNumber	Year	Page	File	RefCode	Network
Aktienbierbrauerei				Zuchwyl		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Adler	Josef	Restaurant	Friedhofplatz	Solothurn		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Amthaus				Solothurn		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Attisholz-Bad				Attisholz		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Baertschi	G.	Walzmühle		bei Längendorf		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Bank			Amthausplatz	Solothurn		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Bargetzi	Urs	Hotel Bargetzi		Solothurn		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Binder	Xaver	Restaurateur, Rosengarten und Bahnhofrestaurant neu		Solothurn		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Creditbank				Solothurn		1884		telefonbuch_007	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Egger	Urs	Eisenhandlung	Börsenplatz	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Froelicher		Bierbrauerei		Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Furrer		Hirschen		Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Gassmann		Sohn, Buchdruckerei		Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Gemeindehaus		Polizeibureau und Baubureau		Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Güterexpedition alt-Solothurn			Bahnhof alt-Solothurn	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Güterexpedition neu-Solothurn			Bahnhof neu-Solothurn	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Gasfabrik				Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Greder		a. u. Cie		Selzach		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Hänggi-Hänggi	Elise		Marktplatz und Bleichenberg	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Henzi & Kully			Kronengasse	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Hypothekar-Kasse			Amthausplatz	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Hirt		a. u. Cie		Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Krone		Gasthof zur		Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Kantonalbank			amthausplatz	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Kottmann	Carl		Hermesbühl	Solothurn		1884	6	telefonbuch_008	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Lagerhaus				Solothurn		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Lang & Koch				Derendingen		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Papierfabrik				Biberist		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Portland Cementfabrik				Euterbach		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Rathhaus				Solothurn		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
von Roll'sche Eisenwerke			Baselstrasse	Gerlafingen		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Rosegg				Solothurn		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Roth & Co.	J.		Greibe	Solothurn und Deitingen		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
v. Proll		Bierbrauerei		Solothurn		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Schlaefli-Schild			Blumenrain	Ischern		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Schmid	Viktor	Restaurant	Friedhof	Solothurn		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Sieber		Dr.		Attisholz		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Strafanstalt			Kreuzacker	Solothurn		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Schlosserei		mech.		Derendingen		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Uhrenfabrik				Langendorf		1884	7	telefonbuch_009	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Vigier		Gebrüder	Bahnhofstrasse, Sommerhaus und Wilihof	Solothurn		1884	8	telefonbuch_010	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
Weber-Walter	J.	Gasthof zum Sternen		Solothurn		1884	8	telefonbuch_010	PTT-Archiv, P-260-1_Solothurn_1884	Solothurn
